Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1614.6622
FDW14,OUT017,1234.5897
NCN55,OUT010,499.03973
FDQ58,OUT017,2528.145
FDY38,OUT027,5210.5176
FDH56,OUT046,1837.357
FDL48,OUT018,573.3112
FDC48,OUT027,2201.2778
FDN33,OUT045,1584.274
FDA36,OUT017,3014.2117
FDT44,OUT017,1843.7264
FDQ56,OUT045,1305.2445
NCC54,OUT019,506.7311
FDU11,OUT049,1968.9363
DRL59,OUT013,722.3588
FDM24,OUT049,2521.7712
FDI57,OUT045,3281.9788
DRC12,OUT018,2532.464
NCM42,OUT027,2951.6091
FDA46,OUT010,391.79803
FDA31,OUT013,2877.6223
NCJ31,OUT035,3792.6558
FDG52,OUT046,634.9488
NCL19,OUT019,300.8378
FDS10,OUT035,2998.3394
FDX22,OUT010,427.9947
NCF19,OUT035,649.52203
NCE06,OUT046,2443.4744
DRC27,OUT046,3486.2122
FDE21,OUT035,1855.3208
NCR42,OUT019,41.92002
FDX51,OUT018,2721.7522
NCR06,OUT018,447.29962
FDU31,OUT027,5292.782
FDU59,OUT017,2659.3672
FDR03,OUT027,5092.107
FDS49,OUT027,2293.644
FDD48,OUT010,224.45926
NCF18,OUT017,3100.5605
NCD43,OUT027,2793.0027
NCD54,OUT018,1835.3544
FDY19,OUT010,205.94608
NCY54,OUT017,2765.2761
NCL19,OUT018,2006.882
FDP23,OUT010,453.89978
FDC26,OUT013,1813.3646
FDR14,OUT010,88.16422
NCS41,OUT035,2990.6082
FDF41,OUT035,3872.1663
FDU34,OUT046,2040.7467
DRH11,OUT046,858.37836
FDM03,OUT013,1722.4193
FDS31,OUT017,2831.1677
FDJ20,OUT017,1866.1075
FDV44,OUT027,4808.3384
FDG02,OUT049,3082.9734
FDA09,OUT013,2874.08
FDT04,OUT013,344.41656
FDL58,OUT019,554.33777
FDE52,OUT045,1260.7745
FDW12,OUT035,2393.368
FDL51,OUT017,3284.7898
NCY42,OUT027,3757.7195
FDR07,OUT017,1386.8047
FDN40,OUT045,2369.9802
FDB35,OUT027,2325.3157
FDA22,OUT017,2790.3496
NCL06,OUT046,3692.5718
FDI35,OUT013,2867.9456
NCW42,OUT045,3544.7566
NCX06,OUT049,2761.7244
FDC37,OUT027,2892.1155
FDZ14,OUT018,1493.3401
DRG49,OUT049,4063.5896
NCG06,OUT045,3999.8894
DRC36,OUT045,2696.7773
FDV21,OUT019,259.01382
FDB53,OUT046,2301.688
DRP47,OUT019,518.8406
FDA14,OUT013,2116.7144
DRC24,OUT035,2416.2349
FDW21,OUT018,1457.0504
NCH29,OUT046,1596.5687
FDU58,OUT013,3054.706
FDY27,OUT017,2642.3923
FDV56,OUT035,1727.0537
FDT59,OUT046,3312.2693
FDB23,OUT046,3482.907
FDR49,OUT045,719.078
FDB03,OUT010,486.59784
FDN39,OUT045,2750.8904
FDX02,OUT027,5040.5977
FDQ16,OUT027,2770.7356
FDU35,OUT018,1262.3816
NCT29,OUT013,1945.9386
FDZ27,OUT046,612.7326
FDN57,OUT017,2280.7512
FDA03,OUT018,1800.7817
FDZ36,OUT045,3002.7488
NCU05,OUT013,1238.1163
FDT39,OUT018,2189.8132
FDK60,OUT017,1487.9425
FDZ25,OUT017,2780.5452
FDG12,OUT046,2023.0242
DRB01,OUT019,393.41522
NCC43,OUT027,5609.2656
FDX13,OUT019,525.3687
FDM22,OUT049,754.87286
FDJ03,OUT027,1176.6783
FDU14,OUT018,3097.9817
FDB33,OUT010,307.48816
FDP27,OUT046,2985.1697
FDO38,OUT010,149.51651
FDE28,OUT027,5368.81
FDO27,OUT035,1633.3278
DRL23,OUT027,2149.7175
FDS28,OUT046,834.99316
FDX24,OUT013,1475.9728
FDZ02,OUT035,1413.9886
FDL46,OUT045,1783.1061
FDS60,OUT027,4530.948
NCO06,OUT017,350.61536
FDO16,OUT035,1339.4271
FDC60,OUT049,1387.2242
FDA48,OUT018,2906.2144
FDZ36,OUT027,4727.0757
FDK27,OUT045,2021.8617
FDW23,OUT018,435.93756
FDM14,OUT018,1509.2972
FDM14,OUT013,1773.149
FDW60,OUT018,2581.3762
FDE21,OUT013,1783.8658
NCM42,OUT035,1793.2255
FDY59,OUT010,181.49783
DRI49,OUT049,1249.7513
FDT28,OUT019,306.86456
FDQ22,OUT018,366.83502
FDR60,OUT049,1146.9825
FDC50,OUT019,201.66087
FDV24,OUT013,2471.1763
DRF48,OUT010,389.2207
FDQ47,OUT046,612.4681
DRN36,OUT049,1511.3186
NCY06,OUT035,2128.9573
FDE52,OUT035,1297.2994
NCB54,OUT045,2045.2303
NCF31,OUT035,2487.4578
FDJ08,OUT027,4779.62
NCC07,OUT017,1599.8756
NCD19,OUT027,1410.7626
FDL46,OUT049,1830.5387
FDM20,OUT045,3956.1316
NCI06,OUT010,368.98813
DRM11,OUT035,3836.9182
NCH07,OUT018,2042.8724
FDS23,OUT013,1989.5651
FDO49,OUT018,473.0932
FDS35,OUT049,1069.1644
DRK39,OUT045,1198.3339
DRI39,OUT049,836.2463
FDV04,OUT017,2456.5164
NCN14,OUT035,3021.1848
FDH08,OUT013,3804.9233
FDS20,OUT046,2810.1794
FDV40,OUT049,1050.2609
FDZ48,OUT010,204.87416
FDS24,OUT027,2393.8738
FDK44,OUT049,2687.0198
FDS48,OUT045,2447.767
FDK26,OUT010,393.43854
FDD23,OUT045,3175.766
NCH54,OUT017,2603.936
NCP14,OUT010,211.62146
FDM60,OUT010,60.818867
FDV24,OUT017,2416.7834
FDH08,OUT018,3327.4343
FDS12,OUT027,3363.3293
FDR39,OUT027,4616.5654
FDP12,OUT027,857.962
DRF60,OUT027,5542.4854
FDC09,OUT035,1621.5637
FDF50,OUT018,2759.0881
FDG28,OUT035,3845.981
NCE19,OUT017,803.7956
NCM53,OUT010,212.83571
NCN18,OUT049,1778.0482
FDF32,OUT035,3161.4065
FDF11,OUT013,3782.4333
DRI59,OUT049,3238.1824
NCG54,OUT035,2756.3333
FDM44,OUT046,1586.2992
FDT57,OUT018,3180.8801
FDV24,OUT046,2426.4382
FDI50,OUT019,483.7028
FDS09,OUT035,766.56775
NCC31,OUT027,4058.0662
FDQ07,OUT019,455.4737
FDC22,OUT017,3114.2722
FDZ56,OUT046,2575.6455
FDZ40,OUT019,97.814766
FDS46,OUT027,2905.03
DRD24,OUT045,2186.5286
FDV45,OUT017,3092.2183
FDL26,OUT045,2572.9446
FDA56,OUT018,1656.9729
FDN27,OUT046,1900.7263
FDM20,OUT049,3980.5657
FDO16,OUT017,1278.9723
FDL03,OUT035,3257.3472
FDE58,OUT046,1891.0963
FDI02,OUT027,3129.3987
NCC55,OUT019,62.35603
FDR03,OUT018,2764.9988
FDB14,OUT017,1411.1466
FDR45,OUT013,3699.2112
NCN07,OUT017,2098.51
FDM51,OUT019,220.18263
FDT52,OUT027,5614.835
FDL26,OUT046,2415.111
NCZ42,OUT046,3457.5022
DRI47,OUT019,292.70386
FDW40,OUT013,2182.2205
FDN34,OUT046,2753.2458
FDS01,OUT035,2957.35
NCG55,OUT045,1846.9877
FDC11,OUT035,1319.4767
FDX35,OUT018,2869.2434
NCB06,OUT046,2467.6042
FDR09,OUT019,544.59766
FDC53,OUT017,1517.5609
FDY45,OUT013,3845.7717
FDA22,OUT010,343.18323
FDE02,OUT035,1616.4017
FDW21,OUT045,1670.2499
FDV34,OUT046,1189.5446
FDS59,OUT049,1793.6753
NCW17,OUT017,2070.4863
NCK54,OUT046,1843.5787
FDG17,OUT019,508.40808
FDG35,OUT017,2893.6677
FDD08,OUT010,57.934822
NCO07,OUT017,3452.2236
FDJ10,OUT010,281.1106
FDW36,OUT017,1700.7273
FDW21,OUT010,196.27966
FDY19,OUT017,1806.6271
DRE03,OUT013,661.1597
NCC55,OUT049,523.7311
FDH52,OUT010,122.73319
FDO09,OUT017,4256.143
FDU43,OUT045,3763.2805
FDX09,OUT010,349.28848
FDH40,OUT019,161.3044
FDW58,OUT017,1544.1544
FDC47,OUT017,3680.395
NCR41,OUT035,1488.4784
DRG49,OUT035,3851.6301
FDC52,OUT027,3715.8232
FDY13,OUT046,1271.9886
FDY35,OUT013,551.11224
FDI35,OUT017,3050.2332
NCU18,OUT049,2241.991
FDY33,OUT018,2233.5308
FDC15,OUT027,3754.0242
FDU01,OUT049,2936.427
NCU42,OUT046,2553.1838
NCV29,OUT018,2315.026
NCY30,OUT017,2973.929
FDQ46,OUT049,1819.535
FDG58,OUT027,3782.1616
FDK33,OUT017,3475.138
NCD07,OUT045,1869.4965
NCX29,OUT027,3697.3228
NCT42,OUT013,2400.2117
DRN59,OUT035,624.6275
FDI44,OUT035,1178.8013
FDA45,OUT049,2899.9307
FDP31,OUT045,907.93353
FDY01,OUT046,1876.6422
FDT09,OUT018,1895.2897
DRH03,OUT027,2346.3425
FDA36,OUT018,2685.791
NCF31,OUT017,2459.2402
FDG14,OUT049,2470.8347
FDG28,OUT027,5623.6562
FDU14,OUT049,3584.1968
FDY47,OUT019,278.28757
FDI56,OUT049,1361.0624
DRD01,OUT013,841.8947
FDM22,OUT046,767.4079
FDH33,OUT013,562.7088
DRZ24,OUT013,1775.7472
NCQ38,OUT046,1728.2218
FDO16,OUT027,2169.2947
FDU07,OUT027,3991.8862
NCB07,OUT013,2859.943
FDU48,OUT045,2124.2576
NCM43,OUT045,2713.7683
FDR31,OUT010,291.4141
DRK49,OUT018,521.0085
NCI30,OUT010,512.6484
DRD60,OUT017,2821.3403
NCG19,OUT046,3305.3782
FDH12,OUT035,1736.4165
FDM32,OUT035,1348.2694
FDM27,OUT035,2610.6033
NCU53,OUT027,4173.8477
NCQ18,OUT046,1558.111
FDS10,OUT013,2866.831
FDB33,OUT027,4177.2915
FDI12,OUT013,1350.0597
NCW42,OUT013,3190.4978
NCC06,OUT018,1627.2379
FDW02,OUT017,1829.9689
