Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1824.6467278004748
FDW14,OUT017,1467.8566405504512
NCN55,OUT010,1930.5307523530796
FDQ58,OUT017,2589.3323894458435
FDY38,OUT027,5036.311529115433
FDH56,OUT046,1979.3180147288017
FDL48,OUT018,614.7827194677548
FDC48,OUT027,2777.2480925071177
FDN33,OUT045,1676.1647892806527
FDA36,OUT017,3069.608196895976
FDT44,OUT017,1956.323736051128
FDQ56,OUT045,1466.195380612558
NCC54,OUT019,1817.0249092765953
FDU11,OUT049,1935.8608253574325
DRL59,OUT013,913.7137560684673
FDM24,OUT049,2513.9214974204288
FDI57,OUT045,3405.0237308434944
DRC12,OUT018,2729.913776556362
NCM42,OUT027,3161.85539937253
FDA46,OUT010,1199.697384842039
FDA31,OUT013,2790.7138245412953
NCJ31,OUT035,3787.3890530809576
FDG52,OUT046,845.3996184698431
NCL19,OUT019,387.37694997894687
FDS10,OUT035,2964.535603722844
FDX22,OUT010,1536.5130356458412
NCF19,OUT035,865.9546991543052
NCE06,OUT046,2585.1784833291995
DRC27,OUT046,3796.333354046981
FDE21,OUT035,1968.4899775013241
NCR42,OUT019,-1346.3917499768668
FDX51,OUT018,2867.541760650679
NCR06,OUT018,451.15408432113236
FDU31,OUT027,4892.636319018776
FDU59,OUT017,2597.652200196704
FDR03,OUT027,4707.765883486964
FDS49,OUT027,2778.2779075103836
FDD48,OUT010,15.609928110569172
NCF18,OUT017,3051.3783787115553
NCD43,OUT027,3069.2574498807617
NCD54,OUT018,1979.6172614790153
FDY19,OUT010,23.19131363282395
NCY54,OUT017,2758.8059713335915
NCL19,OUT018,2044.0106486335803
FDP23,OUT010,1508.3528523677064
FDC26,OUT013,1859.4639518399194
FDR14,OUT010,-1048.7476114112342
NCS41,OUT035,2942.1278602874863
FDF41,OUT035,3923.7609114380484
FDU34,OUT046,2074.9673401368973
DRH11,OUT046,1025.910003919444
FDM03,OUT013,1732.5232298926257
FDS31,OUT017,2974.9857980034985
FDJ20,OUT017,2042.7876309250246
FDV44,OUT027,4442.0592486132755
FDG02,OUT049,3105.9198857547926
FDA09,OUT013,2944.5187775011973
FDT04,OUT013,647.0663614891578
FDL58,OUT019,2277.963106648537
FDE52,OUT045,1510.6622658448455
FDW12,OUT035,2448.2704581033922
FDL51,OUT017,3404.232630771661
NCY42,OUT027,3652.1565872944166
FDR07,OUT017,1626.2088394497014
FDN40,OUT045,2476.658932237564
FDB35,OUT027,2985.5874211512983
FDA22,OUT017,2767.7288402380736
NCL06,OUT046,4130.1583689174195
FDI35,OUT013,2959.3531281395162
NCW42,OUT045,3514.6330189989876
NCX06,OUT049,2871.0545480265764
FDC37,OUT027,3188.2310414207413
FDZ14,OUT018,1665.5332923887759
DRG49,OUT049,3868.378513484682
NCG06,OUT045,4058.759522504728
DRC36,OUT045,2820.782158445747
FDV21,OUT019,66.42763784757881
FDB53,OUT046,2370.5360292619353
DRP47,OUT019,2014.7647902817357
FDA14,OUT013,2254.2516390129986
DRC24,OUT035,2472.8209453530653
FDW21,OUT018,1453.2111057241113
NCH29,OUT046,1621.0893721833036
FDU58,OUT013,3084.629233315366
FDY27,OUT017,2828.614803485859
FDV56,OUT035,1880.6241708757248
FDT59,OUT046,3615.38885784604
FDB23,OUT046,3707.8444221266745
FDR49,OUT045,894.1582533596352
FDB03,OUT010,1843.6794059747176
FDN39,OUT045,2749.2349455296635
FDX02,OUT027,4855.442053504398
FDQ16,OUT027,3137.648848393934
FDU35,OUT018,1269.3302034591834
NCT29,OUT013,1944.7744588807764
FDZ27,OUT046,828.88942359255
FDN57,OUT017,2333.9091234998677
FDA03,OUT018,2005.0963509100798
FDZ36,OUT045,3062.737139597587
NCU05,OUT013,1318.7503712523398
FDT39,OUT018,2204.3880295021486
FDK60,OUT017,1677.1222415625657
FDZ25,OUT017,2839.427448709899
FDG12,OUT046,2090.8006986227833
DRB01,OUT019,1074.4522423129592
NCC43,OUT027,5304.01940690645
FDX13,OUT019,2055.6405511677826
FDM22,OUT049,1014.1940624125477
FDJ03,OUT027,2206.015726558972
FDU14,OUT018,3589.517323942374
FDB33,OUT010,691.9038934501241
FDP27,OUT046,3065.1252658646263
FDO38,OUT010,-559.6735453437955
FDE28,OUT027,5046.72717000731
FDO27,OUT035,1637.923967790573
DRL23,OUT027,3163.630120119734
FDS28,OUT046,1006.101439847575
FDX24,OUT013,1565.4892548476769
FDZ02,OUT035,1616.1066831773283
FDL46,OUT045,1970.267858543687
FDS60,OUT027,4271.794898536652
NCO06,OUT017,601.1490269577889
FDO16,OUT035,1462.7099299010629
FDC60,OUT049,1516.5731850738694
FDA48,OUT018,3196.441463465314
FDZ36,OUT027,4431.0374771644865
FDK27,OUT045,2036.593098733811
FDW23,OUT018,433.0274142992316
FDM14,OUT018,1569.8036202928874
FDM14,OUT013,1829.9588713613011
FDW60,OUT018,2620.3504754929
FDE21,OUT013,1911.0036138015544
NCM42,OUT035,1828.1181197613855
FDY59,OUT010,-289.57656941172854
DRI49,OUT049,1303.0255036786848
FDT28,OUT019,478.1468580165583
FDQ22,OUT018,458.15391130707076
FDR60,OUT049,1299.5233179384363
FDC50,OUT019,-358.2869697660376
FDV24,OUT013,2450.2686382131933
DRF48,OUT010,1128.934304012475
FDQ47,OUT046,628.9257645535531
DRN36,OUT049,1591.719080753283
NCY06,OUT035,2097.042077397101
FDE52,OUT035,1508.3432521960208
NCB54,OUT045,2078.366505726317
NCF31,OUT035,2478.7746435339977
FDJ08,OUT027,4404.140757318729
NCC07,OUT017,1749.792477250549
NCD19,OUT027,2308.1938203040027
FDL46,OUT049,1997.972100244821
FDM20,OUT045,3951.646933330803
NCI06,OUT010,973.6722807191782
DRM11,OUT035,4154.137986382063
NCH07,OUT018,2203.203817336236
FDS23,OUT013,2002.4212295038492
FDO49,OUT018,613.8135096653978
FDS35,OUT049,1046.75851150792
DRK39,OUT045,1334.8250115215887
DRI39,OUT049,915.140563394782
FDV04,OUT017,2565.078798841737
NCN14,OUT035,2936.919097319691
FDH08,OUT013,3681.7022470861293
FDS20,OUT046,2964.5409630001404
FDV40,OUT049,1273.906040994772
FDZ48,OUT010,-75.01480974603419
FDS24,OUT027,2892.7109546884776
FDK44,OUT049,2789.3587542467358
FDS48,OUT045,2497.192257643841
FDK26,OUT010,1205.4787750870469
FDD23,OUT045,3156.8902159463596
NCH54,OUT017,2594.142769286468
NCP14,OUT010,-190.94435721871537
FDM60,OUT010,-1109.2899514228438
FDV24,OUT017,2491.457224005695
FDH08,OUT018,3357.0618574216824
FDS12,OUT027,3440.3259418440966
FDR39,OUT027,4276.449247780972
FDP12,OUT027,2114.345363650367
DRF60,OUT027,5098.20654632369
FDC09,OUT035,1781.8361898825688
FDF50,OUT018,2907.9335792356333
FDG28,OUT035,3921.5763583802554
NCE19,OUT017,967.6234333016532
NCM53,OUT010,-150.66770885073242
NCN18,OUT049,1829.1444856337362
FDF32,OUT035,3215.702706678233
FDF11,OUT013,3897.804828937671
DRI59,OUT049,3606.0565974157616
NCG54,OUT035,2724.214564362511
FDM44,OUT046,1712.849475305768
FDT57,OUT018,3483.1204132535813
FDV24,OUT046,2476.11054404523
FDI50,OUT019,1777.526831270664
FDS09,OUT035,1008.88850905758
NCC31,OUT027,3854.02757711909
FDQ07,OUT019,1566.2387729374882
FDC22,OUT017,3146.548863904537
FDZ56,OUT046,2751.5467284968745
FDZ40,OUT019,-1002.7215445503846
FDS46,OUT027,3385.0899560656135
DRD24,OUT045,2285.0504335248843
FDV45,OUT017,3087.69725273346
FDL26,OUT045,2582.594179284126
FDA56,OUT018,1733.5008990948945
FDN27,OUT046,1957.906972769622
FDM20,OUT049,3912.3560090662295
FDO16,OUT017,1428.17686854271
FDL03,OUT035,3205.27667602386
FDE58,OUT046,1961.024564484193
FDI02,OUT027,3286.7829403843907
NCC55,OUT019,-1256.6850526175813
FDR03,OUT018,3028.3181747845074
FDB14,OUT017,1629.9882008782274
FDR45,OUT013,3848.5755286429385
NCN07,OUT017,2143.625236161838
FDM51,OUT019,-186.9804286395438
FDT52,OUT027,5271.9160003922225
FDL26,OUT046,2545.610916338853
NCZ42,OUT046,3794.23780496587
DRI47,OUT019,443.93217798224805
FDW40,OUT013,2262.255720688405
FDN34,OUT046,2815.409054125006
FDS01,OUT035,2964.9091278783717
NCG55,OUT045,1905.7157150212988
FDC11,OUT035,1530.6685042627432
FDX35,OUT018,3251.128081106145
NCB06,OUT046,2552.7822447418885
FDR09,OUT019,2193.284401060238
FDC53,OUT017,1641.6369857003424
FDY45,OUT013,4066.7813088279327
FDA22,OUT010,877.4028904856427
FDE02,OUT035,1659.9271193651712
FDW21,OUT045,1794.6738208299125
FDV34,OUT046,1351.9524661399541
FDS59,OUT049,1764.4985694412758
NCW17,OUT017,2088.0345947384685
NCK54,OUT046,1917.0035689034758
FDG17,OUT019,1952.5824246204402
FDG35,OUT017,2915.444240217511
FDD08,OUT010,-1164.2351550646574
NCO07,OUT017,3412.723380735416
FDJ10,OUT010,448.6735677097199
FDW36,OUT017,1772.4465970006272
FDW21,OUT010,-113.43968874382813
FDY19,OUT017,1966.9603772943628
DRE03,OUT013,729.1645738995408
NCC55,OUT049,687.9354388554343
FDH52,OUT010,-774.552264358824
FDO09,OUT017,4257.086089482298
FDU43,OUT045,3857.060233982532
FDX09,OUT010,949.5145796318234
FDH40,OUT019,-545.8432817436901
FDW58,OUT017,1793.3142756407128
FDC47,OUT017,3651.2075768893064
NCR41,OUT035,1581.501301078441
DRG49,OUT035,3888.486218754445
FDC52,OUT027,3814.4923019257385
FDY13,OUT046,1345.5586097428159
FDY35,OUT013,741.2078202963426
FDI35,OUT017,3016.0264275644704
NCU18,OUT049,2268.592635467935
FDY33,OUT018,2296.5700111978504
FDC15,OUT027,3808.4664330787464
FDU01,OUT049,3084.4557887334713
NCU42,OUT046,2728.9237496373344
NCV29,OUT018,2522.8177559123333
NCY30,OUT017,2927.1053818207074
FDQ46,OUT049,1880.6147180468133
FDG58,OUT027,3915.862800668495
FDK33,OUT017,3467.0890351384687
NCD07,OUT045,1903.4661924834832
NCX29,OUT027,3674.2469435694256
NCT42,OUT013,2371.643390734035
DRN59,OUT035,864.3859267459047
FDI44,OUT035,1361.582455525625
FDA45,OUT049,2855.3557588219064
FDP31,OUT045,1152.7056100853501
FDY01,OUT046,1954.3673040144663
FDT09,OUT018,1929.1262225896116
DRH03,OUT027,2877.3737377519956
FDA36,OUT018,2728.1524671707593
NCF31,OUT017,2484.0859096857766
FDG14,OUT049,2546.1270084874195
FDG28,OUT027,5280.519426796526
FDU14,OUT049,3901.6857391144094
FDY47,OUT019,152.05701758219993
FDI56,OUT049,1525.283708542062
DRD01,OUT013,967.9586334627393
FDM22,OUT046,1062.5654517862304
FDH33,OUT013,764.468056417506
DRZ24,OUT013,1889.2453953870877
NCQ38,OUT046,1759.2938923785423
FDO16,OUT027,2781.535507092103
FDU07,OUT027,3798.3388322321643
NCB07,OUT013,3041.1014441805382
FDU48,OUT045,2191.177542460721
NCM43,OUT045,2693.8049625898175
FDR31,OUT010,498.10349442301685
DRK49,OUT018,416.8909632351838
NCI30,OUT010,1939.5060412508892
DRD60,OUT017,2902.3116870201284
NCG19,OUT046,3678.323693306894
FDH12,OUT035,1787.5711284031681
FDM32,OUT035,1574.7860054667321
FDM27,OUT035,2566.6786505786313
NCU53,OUT027,4031.6581859724674
NCQ18,OUT046,1599.1940311788344
FDS10,OUT013,2884.0238396040522
FDB33,OUT027,3938.9311447289883
FDI12,OUT013,1464.0261801080342
NCW42,OUT013,3462.5320921840384
NCC06,OUT018,1757.3940262009978
FDW02,OUT017,2065.633475030408
NCD43,OUT017,1742.563396803609
FDM57,OUT018,1148.737180389588
FDA58,OUT017,3813.242832352422
FDK56,OUT046,2971.190446082137
FDP52,OUT045,3720.223865097667
FDW20,OUT018,1723.6267412654493
FDS52,OUT049,1674.7051415887058
NCT29,OUT018,1620.0584972191218
NCL54,OUT013,2775.396331705553
FDC05,OUT045,3191.365035658512
FDF34,OUT035,3265.7150963818394
FDP03,OUT027,3452.264298581331
FDD32,OUT010,-455.2079411646207
FDZ10,OUT045,2154.3222862559246
FDZ40,OUT035,980.5627023751845
FDD51,OUT018,398.16246671054296
NCY30,OUT019,925.3835971683702
FDP58,OUT017,3509.1628558691546
FDV49,OUT017,4277.533311003335
FDY24,OUT019,-1007.1515835829803
NCO55,OUT017,1783.5450636003034
FDR13,OUT017,2040.685624588909
FDS51,OUT017,1124.4968154253552
FDP26,OUT045,1671.5133358063945
NCB54,OUT027,3454.096143212182
FDF32,OUT017,3177.9970612307716
FDN31,OUT018,2723.4156345630436
DRM48,OUT017,650.7814637978868
FDN20,OUT049,2734.7854800349887
DRL01,OUT046,3724.2033308774753
FDV56,OUT049,1826.7730614915185
DRH13,OUT027,3131.2234760223746
FDA03,OUT017,2343.4608933238524
FDF47,OUT027,4993.1324139690905
FDX32,OUT046,2408.927264206791
FDX57,OUT049,1674.0003244915638
NCA30,OUT045,3013.0692983711906
FDO49,OUT013,906.2399934230257
FDL04,OUT019,-257.65229600384305
DRM48,OUT035,676.2919594170089
FDR16,OUT013,3367.9304203552956
NCC19,OUT018,2738.056052522409
NCE42,OUT045,3738.294756624373
FDY24,OUT017,1034.1451452039182
FDH19,OUT049,2835.1980408784266
FDJ46,OUT013,2806.325664330453
FDN45,OUT010,1664.2361548228655
FDY08,OUT035,2316.034735906943
FDZ37,OUT035,1592.5212974299584
NCT30,OUT045,847.0099622003754
DRY23,OUT018,443.7762480516067
NCZ30,OUT018,1671.882225543619
FDC44,OUT018,1519.8975319793353
FDB45,OUT035,1772.73978639373
FDY04,OUT013,2615.157067796078
FDM27,OUT046,2641.074233353839
FDZ43,OUT017,3898.6759748155646
FDT39,OUT019,566.3968898710532
NCC06,OUT019,113.21860971038245
FDL15,OUT027,3873.2136017575212
FDL57,OUT017,4163.825128003075
FDU08,OUT046,1676.3483537358857
FDK40,OUT017,4206.164351730066
FDQ12,OUT010,1775.7411269706881
FDS48,OUT017,2498.719728301183
FDP09,OUT045,3438.5728334179557
FDW21,OUT049,1746.166586504039
FDY25,OUT035,3000.788777051889
